Xception;VGG16            ;VGG19;ResNet50         ;ResNet101        ;ResNet152        ;ResNet50V2       ;ResNet101V2      ;ResNet152V2      ;InceptionV3      ;InceptionResNetV2;MobileNet        ;DenseNet121      ;DenseNet169      ;DenseNet201      ;NasNetMobile     ;MobileNetV2      ;EfficientNetB0   ;EfficientNetB1   ;EfficientNetB2   ;EfficientNetB3   ;EfficientNetB4   
0,8857;0,7714;0,8;0,6286;0,7429;0,8286;0,6;0,6;0,7143;0,9143;0,8857;0,8857;0,8857;0,8571;0,9429;0,5143;0,4857;0,8857;0,9143;0,9429;0,9429;0,9714
1;0,9714;0,9429;0,9429;0,9429;0,8857;0,9143;0,8286;0,9143;0,9714;0,9143;0,8857;0,9143;0,9143;0,9714;0,6286;0,7714;1;0,9143;0,8286;0,9143;0,9429
0,8529;0,8824;0,9412;0,8529;0,8235;0,7353;0,8824;0,8529;0,7941;0,9706;0,8235;0,8235;0,8824;0,8824;0,9412;0,8824;0,7059;0,8824;0,8529;0,8824;0,9118;0,8824
0,8829;0,8529;0,8529;0,8824;0,8235;0,9118;0,9118;0,8235;0,8824;0,9118;0,7941;0,9412;0,9118;0,8824;0,9412;0,5;0,8824;0,9412;0,9706;0,9412;0,9118;0,9118
0,8824;0,9412;0,9118;0,9706;0,8529;0,8824;0,8824;0,8824;0,9118;0,9412;0,9706;0,9706;0,8824;0,9412;0,9412;0,5;0,9118;0,9118;0,9118;0,8824;0,8529;0,8529
0,9706;0,9118;0,8529;0,8235;0,8529;0,8529;0,8824;0,8529;0,7941;0,8529;0,8529;0,9118;0,9118;0,8529;0,9118;0,6176;0,8529;0,9118;0,9118;0,8529;0,8824;0,8529
0,8529;0,8529;0,8824;0,9412;0,8235;0,9412;0,8529;0,8824;0,7941;0,8824;0,9412;0,9412;0,8824;0,9118;0,9118;0,6176;0,8235;0,8824;0,8529;0,9412;0,9412;0,8529
0,9118;0,9412;0,8235;0,8824;0,8529;0,9118;0,9412;0,8529;0,8824;0,9118;0,8235;0,8824;0,9118;0,9118;0,8824;0,6471;0,8529;0,9118;0,8529;0,9412;0,8824;0,8235
0,9118;0,8824;0,8529;0,8824;0,8235;0,7941;0,9412;0,9118;0,9706;0,9412;0,8824;0,9412;0,8824;0,8824;0,9412;0,5294;0,8235;0,9118;0,8824;0,8529;0,9118;0,8235
0,9118;0,8235;0,8824;0,8824;0,8824;0,8529;0,8529;0,8235;0,8235;0,9118;0,8529;0,7647;0,8529;0,8529;0,9412;0,8235;0,7941;0,9412;0,8824;0,9118;0,9118;0,8529
