CNN;ACC
Xcepton;0,8857
Xcepton;1
Xcepton;0,8529
Xcepton;0,8829
Xcepton;0,8824
Xcepton;0,9706
Xcepton;0,8529
Xcepton;0,9118
Xcepton;0,9118
Xcepton;0,9118
Xcepton;0,9412
Xcepton;0,9412
VGG16            ;0,7714
VGG16            ;0,9714
VGG16            ;0,8824
VGG16            ;0,8529
VGG16            ;0,9412
VGG16            ;0,9118
VGG16            ;0,8529
VGG16            ;0,9412
VGG16            ;0,8824
VGG16            ;0,8235
VGG19;0,8
VGG19;0,9429
VGG19;0,9412
VGG19;0,8529
VGG19;0,9118
VGG19;0,8529
VGG19;0,8824
VGG19;0,8235
VGG19;0,8529
VGG19;0,8824
ResNet50         ;0,6286
ResNet50         ;0,9429
ResNet50         ;0,8529
ResNet50         ;0,8824
ResNet50         ;0,9706
ResNet50         ;0,8235
ResNet50         ;0,9412
ResNet50         ;0,8824
ResNet50         ;0,8824
ResNet50         ;0,8824
ResNet101        ;0,7429
ResNet101        ;0,9429
ResNet101        ;0,8235
ResNet101        ;0,8235
ResNet101        ;0,8529
ResNet101        ;0,8529
ResNet101        ;0,8235
ResNet101        ;0,8529
ResNet101        ;0,8235
ResNet101        ;0,8824
ResNet152        ;0,8286
ResNet152        ;0,8857
ResNet152        ;0,7353
ResNet152        ;0,9118
ResNet152        ;0,8824
ResNet152        ;0,8529
ResNet152        ;0,9412
ResNet152        ;0,9118
ResNet152        ;0,7941
ResNet152        ;0,8529
ResNet50V2       ;0,6
ResNet50V2       ;0,9143
ResNet50V2       ;0,8824
ResNet50V2       ;0,9118
ResNet50V2       ;0,8824
ResNet50V2       ;0,8824
ResNet50V2       ;0,8529
ResNet50V2       ;0,9412
ResNet50V2       ;0,9412
ResNet50V2       ;0,8529
ResNet101V2      ;0,6
ResNet101V2      ;0,8286
ResNet101V2      ;0,8529
ResNet101V2      ;0,8235
ResNet101V2      ;0,8824
ResNet101V2      ;0,8529
ResNet101V2      ;0,8824
ResNet101V2      ;0,8529
ResNet101V2      ;0,9118
ResNet101V2      ;0,8235
ResNet152V2      ;0,7143
ResNet152V2      ;0,9143
ResNet152V2      ;0,7941
ResNet152V2      ;0,8824
ResNet152V2      ;0,9118
ResNet152V2      ;0,7941
ResNet152V2      ;0,7941
ResNet152V2      ;0,8824
ResNet152V2      ;0,9706
ResNet152V2      ;0,8235
InceptionV3      ;0,9143
InceptionV3      ;0,9714
InceptionV3      ;0,9706
InceptionV3      ;0,9118
InceptionV3      ;0,9412
InceptionV3      ;0,8529
InceptionV3      ;0,8824
InceptionV3      ;0,9118
InceptionV3      ;0,9412
InceptionV3      ;0,9118
InceptionResNetV2;0,8857
InceptionResNetV2;0,9143
InceptionResNetV2;0,8235
InceptionResNetV2;0,7941
InceptionResNetV2;0,9706
InceptionResNetV2;0,8529
InceptionResNetV2;0,9412
InceptionResNetV2;0,8235
InceptionResNetV2;0,8824
InceptionResNetV2;0,8529
MobileNet        ;0,8857
MobileNet        ;0,8857
MobileNet        ;0,8235
MobileNet        ;0,9412
MobileNet        ;0,9706
MobileNet        ;0,9118
MobileNet        ;0,9412
MobileNet        ;0,8824
MobileNet        ;0,9412
MobileNet        ;0,7647
DenseNet121      ;0,8857
DenseNet121      ;0,9143
DenseNet121      ;0,8824
DenseNet121      ;0,9118
DenseNet121      ;0,8824
DenseNet121      ;0,9118
DenseNet121      ;0,8824
DenseNet121      ;0,9118
DenseNet121      ;0,8824
DenseNet121      ;0,8529
DenseNet169      ;0,8571
DenseNet169      ;0,9143
DenseNet169      ;0,8824
DenseNet169      ;0,8824
DenseNet169      ;0,9412
DenseNet169      ;0,8529
DenseNet169      ;0,9118
DenseNet169      ;0,9118
DenseNet169      ;0,8824
DenseNet169      ;0,8529
DenseNet201      ;0,9429
DenseNet201      ;0,9714
DenseNet201      ;0,9412
DenseNet201      ;0,9412
DenseNet201      ;0,9412
DenseNet201      ;0,9118
DenseNet201      ;0,9118
DenseNet201      ;0,8824
DenseNet201      ;0,9412
DenseNet201      ;0,9412
NasNetMobile     ;0,5143
NasNetMobile     ;0,6286
NasNetMobile     ;0,8824
NasNetMobile     ;0,5
NasNetMobile     ;0,5
NasNetMobile     ;0,6176
NasNetMobile     ;0,6176
NasNetMobile     ;0,6471
NasNetMobile     ;0,5294
NasNetMobile     ;0,8235
MobileNetV2      ;0,4857
MobileNetV2      ;0,7714
MobileNetV2      ;0,7059
MobileNetV2      ;0,8824
MobileNetV2      ;0,9118
MobileNetV2      ;0,8529
MobileNetV2      ;0,8235
MobileNetV2      ;0,8529
MobileNetV2      ;0,8235
MobileNetV2      ;0,7941
EfficientNetB0   ;0,8857
EfficientNetB0   ;1
EfficientNetB0   ;0,8824
EfficientNetB0   ;0,9412
EfficientNetB0   ;0,9118
EfficientNetB0   ;0,9118
EfficientNetB0   ;0,8824
EfficientNetB0   ;0,9118
EfficientNetB0   ;0,9118
EfficientNetB0   ;0,9412
EfficientNetB1   ;0,9143
EfficientNetB1   ;0,9143
EfficientNetB1   ;0,8529
EfficientNetB1   ;0,9706
EfficientNetB1   ;0,9118
EfficientNetB1   ;0,9118
EfficientNetB1   ;0,8529
EfficientNetB1   ;0,8529
EfficientNetB1   ;0,8824
EfficientNetB1   ;0,8824
EfficientNetB2   ;0,9429
EfficientNetB2   ;0,8286
EfficientNetB2   ;0,8824
EfficientNetB2   ;0,9412
EfficientNetB2   ;0,8824
EfficientNetB2   ;0,8529
EfficientNetB2   ;0,9412
EfficientNetB2   ;0,9412
EfficientNetB2   ;0,8529
EfficientNetB2   ;0,9118
EfficientNetB3   ;0,9429
EfficientNetB3   ;0,9143
EfficientNetB3   ;0,9118
EfficientNetB3   ;0,9118
EfficientNetB3   ;0,8529
EfficientNetB3   ;0,8824
EfficientNetB3   ;0,9412
EfficientNetB3   ;0,8824
EfficientNetB3   ;0,9118
EfficientNetB3   ;0,9118
EfficientNetB4   ;0,9714
EfficientNetB4   ;0,9429
EfficientNetB4   ;0,8824
EfficientNetB4   ;0,9118
EfficientNetB4   ;0,8529
EfficientNetB4   ;0,8529
EfficientNetB4   ;0,8529
EfficientNetB4   ;0,8235
EfficientNetB4   ;0,8235
EfficientNetB4   ;0,8529
