Metodo;DenseNet121_PCA_300_Logistic;DenseNet169_PCA_50_RBF;DenseNet201_PCA_300_Logistic;EfficientNetB0_PCA_300_Logistic;EfficientNetB1_PCA_300_LinearSVM;EfficientNetB2_PCA_250_Logistic;EfficientNetB3_PCA_250_Logistic;EfficientNetB4_PCA_300_Logistic;EfficientNetB5_PCA_300_Logistic;EfficientNetB6_PCA_300_Logistic;EfficientNetB7_PCA_100_RBF;InceptionResNetV2_PCA_300_RBF;InceptionV3_PCA_100_RBF;MobileNet_PCA_40_RBF;MobileNetV2_PCA_40_RBF;NASNetMobile_PCA_100_RBF;ResNet101_PCA_300_Logistic;ResNet101V2_PCA_30_LinearSVM;ResNet152_PCA_40_Logistic;ResNet152V2_PCA_100_RBF;ResNet50_PCA_250_LinearSVM;ResNet50V2_PCA_30_RBF;VGG16_PCA_20_LinearSVM;VGG19_ReliefF_300_Logistic;Xception_PCA_300_Logistic
ACC01;0,9143;0,9714;0,8857;0,9429;0,9429;0,9714;0,9429;0,7714;0,8571;0,8286;0,8286;0,8286;0,8571;0,9429;0,9429;0,8286;0,8857;0,9429;0,8857;0,9143;0,9143;0,8571;0,7714;0,8;0,8571
ACC02;0,8286;0,9429;0,9143;0,8286;0,9429;0,9429;0,9429;0,8857;0,9714;0,9143;0,9143;0,9714;0,9714;0,9429;0,9429;0,7714;0,8286;0,8857;0,8286;0,9429;0,8857;0,8571;0,9143;0,8286;0,8571
ACC03;0,9706;0,8824;0,9706;0,9412;0,9706;0,9706;0,9118;0,9118;0,9412;0,9412;0,9118;0,8529;0,9412;0,9412;0,9412;0,8529;0,9118;0,8824;0,9412;0,9412;0,9118;0,8824;0,9412;0,8824;0,8824
ACC04;0,8824;0,8529;0,8529;0,9118;0,8529;0,8529;0,8824;0,8235;0,9118;0,7941;0,7941;0,8235;0,8529;0,8529;0,8529;0,8235;0,9118;0,9118;0,8529;0,8529;0,9118;0,8235;0,8529;0,8824;0,9118
ACC05;0,9412;0,9706;0,9412;0,9118;0,9412;0,8824;0,9118;0,9706;0,9412;0,9118;0,8824;0,8529;0,9118;0,9118;0,9118;0,8529;0,9118;0,9118;0,9118;0,9118;0,9118;0,9118;0,8824;0,7941;0,8824
ACC06;0,9412;0,9118;0,8824;0,9412;0,9412;0,9706;0,9412;0,9412;0,8824;0,8529;0,9118;0,9412;0,9118;0,9706;0,9118;0,8529;0,9118;0,8824;0,8824;0,8529;0,8824;0,9412;0,9118;0,8529;0,9412
ACC07;0,9706;0,8824;0,8824;0,9118;0,9412;0,9412;0,9118;0,8824;0,9118;0,8235;0,9412;0,8529;0,8529;0,9118;0,9118;0,8235;0,9706;0,9706;0,9412;0,8824;0,8824;0,9412;0,7941;0,8824;0,8824
ACC08;0,8824;0,9412;0,9412;0,9706;0,9412;0,8824;0,9118;0,9412;0,9118;0,9118;0,9412;0,9118;0,9412;0,9706;0,9706;0,8824;0,9412;0,9118;0,8824;0,9412;0,9706;0,9118;0,9706;0,9412;0,9412
ACC09;0,9706;0,9118;0,9706;0,9412;0,9412;0,9412;0,9706;0,9118;0,9412;0,9412;0,9412;0,8824;0,8824;0,9412;0,9706;0,8824;0,9412;0,9706;0,9412;0,9412;0,9118;0,9118;0,9706;1;0,8529
ACC10;0,9118;0,9118;0,9412;0,9118;0,9118;0,9412;0,9118;0,9412;0,8529;0,9118;0,8824;0,9412;0,9412;1;0,9412;0,8235;0,9412;0,9706;0,9706;0,9412;0,9412;0,9118;0,9118;0,9412;0,8824
