metodo;ExtractionMethod;Reduction;Classification;Fold;Components;ACC
EfficientNetB0+MobileNet_n_feat_PCA_200_RBF;EfficientNetB0+MobileNet_n_feat;PCA;RBF;1;200;0,857143
EfficientNetB0+MobileNet_n_feat_PCA_200_RBF;EfficientNetB0+MobileNet_n_feat;PCA;RBF;2;200;0,971429
EfficientNetB0+MobileNet_n_feat_PCA_200_RBF;EfficientNetB0+MobileNet_n_feat;PCA;RBF;3;200;0,970588
EfficientNetB0+MobileNet_n_feat_PCA_200_RBF;EfficientNetB0+MobileNet_n_feat;PCA;RBF;4;200;0,911765
EfficientNetB0+MobileNet_n_feat_PCA_200_RBF;EfficientNetB0+MobileNet_n_feat;PCA;RBF;5;200;0,882353
EfficientNetB0+MobileNet_n_feat_PCA_200_RBF;EfficientNetB0+MobileNet_n_feat;PCA;RBF;6;200;0,970588
EfficientNetB0+MobileNet_n_feat_PCA_200_RBF;EfficientNetB0+MobileNet_n_feat;PCA;RBF;7;200;0,911765
EfficientNetB0+MobileNet_n_feat_PCA_200_RBF;EfficientNetB0+MobileNet_n_feat;PCA;RBF;8;200;0,941176
EfficientNetB0+MobileNet_n_feat_PCA_200_RBF;EfficientNetB0+MobileNet_n_feat;PCA;RBF;9;200;0,941176
EfficientNetB0+MobileNet_n_feat_PCA_200_RBF;EfficientNetB0+MobileNet_n_feat;PCA;RBF;10;200;0,941176
EfficientNetB1+EfficientNetB5_n_feat_PCA_300_Logistic;EfficientNetB1+EfficientNetB5_n_feat;PCA;Logistic;1;300;0,914286
EfficientNetB1+EfficientNetB5_n_feat_PCA_300_Logistic;EfficientNetB1+EfficientNetB5_n_feat;PCA;Logistic;2;300;0,942857
EfficientNetB1+EfficientNetB5_n_feat_PCA_300_Logistic;EfficientNetB1+EfficientNetB5_n_feat;PCA;Logistic;3;300;0,941176
EfficientNetB1+EfficientNetB5_n_feat_PCA_300_Logistic;EfficientNetB1+EfficientNetB5_n_feat;PCA;Logistic;4;300;0,911765
EfficientNetB1+EfficientNetB5_n_feat_PCA_300_Logistic;EfficientNetB1+EfficientNetB5_n_feat;PCA;Logistic;5;300;0,941176
EfficientNetB1+EfficientNetB5_n_feat_PCA_300_Logistic;EfficientNetB1+EfficientNetB5_n_feat;PCA;Logistic;6;300;0,882353
EfficientNetB1+EfficientNetB5_n_feat_PCA_300_Logistic;EfficientNetB1+EfficientNetB5_n_feat;PCA;Logistic;7;300;0,911765
EfficientNetB1+EfficientNetB5_n_feat_PCA_300_Logistic;EfficientNetB1+EfficientNetB5_n_feat;PCA;Logistic;8;300;0,941176
EfficientNetB1+EfficientNetB5_n_feat_PCA_300_Logistic;EfficientNetB1+EfficientNetB5_n_feat;PCA;Logistic;9;300;0,941176
EfficientNetB1+EfficientNetB5_n_feat_PCA_300_Logistic;EfficientNetB1+EfficientNetB5_n_feat;PCA;Logistic;10;300;0,882353
MobileNet+ResNet101_n_feat_PCA_75_RBF;MobileNet+ResNet101_n_feat;PCA;RBF;1;75;0,8
MobileNet+ResNet101_n_feat_PCA_75_RBF;MobileNet+ResNet101_n_feat;PCA;RBF;2;75;0,942857
MobileNet+ResNet101_n_feat_PCA_75_RBF;MobileNet+ResNet101_n_feat;PCA;RBF;3;75;0,911765
MobileNet+ResNet101_n_feat_PCA_75_RBF;MobileNet+ResNet101_n_feat;PCA;RBF;4;75;0,852941
MobileNet+ResNet101_n_feat_PCA_75_RBF;MobileNet+ResNet101_n_feat;PCA;RBF;5;75;0,941176
MobileNet+ResNet101_n_feat_PCA_75_RBF;MobileNet+ResNet101_n_feat;PCA;RBF;6;75;0,941176
MobileNet+ResNet101_n_feat_PCA_75_RBF;MobileNet+ResNet101_n_feat;PCA;RBF;7;75;0,941176
MobileNet+ResNet101_n_feat_PCA_75_RBF;MobileNet+ResNet101_n_feat;PCA;RBF;8;75;0,941176
MobileNet+ResNet101_n_feat_PCA_75_RBF;MobileNet+ResNet101_n_feat;PCA;RBF;9;75;0,911765
MobileNet+ResNet101_n_feat_PCA_75_RBF;MobileNet+ResNet101_n_feat;PCA;RBF;10;75;0,970588
MobileNet+ResNet50_n_feat_PCA_100_RBF;MobileNet+ResNet50_n_feat;PCA;RBF;1;100;0,914286
MobileNet+ResNet50_n_feat_PCA_100_RBF;MobileNet+ResNet50_n_feat;PCA;RBF;2;100;0,971429
MobileNet+ResNet50_n_feat_PCA_100_RBF;MobileNet+ResNet50_n_feat;PCA;RBF;3;100;0,911765
MobileNet+ResNet50_n_feat_PCA_100_RBF;MobileNet+ResNet50_n_feat;PCA;RBF;4;100;0,852941
MobileNet+ResNet50_n_feat_PCA_100_RBF;MobileNet+ResNet50_n_feat;PCA;RBF;5;100;0,941176
MobileNet+ResNet50_n_feat_PCA_100_RBF;MobileNet+ResNet50_n_feat;PCA;RBF;6;100;0,970588
MobileNet+ResNet50_n_feat_PCA_100_RBF;MobileNet+ResNet50_n_feat;PCA;RBF;7;100;0,911765
MobileNet+ResNet50_n_feat_PCA_100_RBF;MobileNet+ResNet50_n_feat;PCA;RBF;8;100;0,970588
MobileNet+ResNet50_n_feat_PCA_100_RBF;MobileNet+ResNet50_n_feat;PCA;RBF;9;100;0,882353
MobileNet+ResNet50_n_feat_PCA_100_RBF;MobileNet+ResNet50_n_feat;PCA;RBF;10;100;1
ResNet101+DenseNet121_n_feat_PCA_75_RBF;ResNet101+DenseNet121_n_feat;PCA;RBF;1;75;0,857143
ResNet101+DenseNet121_n_feat_PCA_75_RBF;ResNet101+DenseNet121_n_feat;PCA;RBF;2;75;0,942857
ResNet101+DenseNet121_n_feat_PCA_75_RBF;ResNet101+DenseNet121_n_feat;PCA;RBF;3;75;0,911765
ResNet101+DenseNet121_n_feat_PCA_75_RBF;ResNet101+DenseNet121_n_feat;PCA;RBF;4;75;0,852941
ResNet101+DenseNet121_n_feat_PCA_75_RBF;ResNet101+DenseNet121_n_feat;PCA;RBF;5;75;0,970588
ResNet101+DenseNet121_n_feat_PCA_75_RBF;ResNet101+DenseNet121_n_feat;PCA;RBF;6;75;0,970588
ResNet101+DenseNet121_n_feat_PCA_75_RBF;ResNet101+DenseNet121_n_feat;PCA;RBF;7;75;0,941176
ResNet101+DenseNet121_n_feat_PCA_75_RBF;ResNet101+DenseNet121_n_feat;PCA;RBF;8;75;0,941176
ResNet101+DenseNet121_n_feat_PCA_75_RBF;ResNet101+DenseNet121_n_feat;PCA;RBF;9;75;0,911765
ResNet101+DenseNet121_n_feat_PCA_75_RBF;ResNet101+DenseNet121_n_feat;PCA;RBF;10;75;0,970588
ResNet101+DenseNet169_n_feat_PCA_75_RBF;ResNet101+DenseNet169_n_feat;PCA;RBF;1;75;0,828571
ResNet101+DenseNet169_n_feat_PCA_75_RBF;ResNet101+DenseNet169_n_feat;PCA;RBF;2;75;0,971429
ResNet101+DenseNet169_n_feat_PCA_75_RBF;ResNet101+DenseNet169_n_feat;PCA;RBF;3;75;0,911765
ResNet101+DenseNet169_n_feat_PCA_75_RBF;ResNet101+DenseNet169_n_feat;PCA;RBF;4;75;0,852941
ResNet101+DenseNet169_n_feat_PCA_75_RBF;ResNet101+DenseNet169_n_feat;PCA;RBF;5;75;0,941176
ResNet101+DenseNet169_n_feat_PCA_75_RBF;ResNet101+DenseNet169_n_feat;PCA;RBF;6;75;0,941176
ResNet101+DenseNet169_n_feat_PCA_75_RBF;ResNet101+DenseNet169_n_feat;PCA;RBF;7;75;0,941176
ResNet101+DenseNet169_n_feat_PCA_75_RBF;ResNet101+DenseNet169_n_feat;PCA;RBF;8;75;0,941176
ResNet101+DenseNet169_n_feat_PCA_75_RBF;ResNet101+DenseNet169_n_feat;PCA;RBF;9;75;0,941176
ResNet101+DenseNet169_n_feat_PCA_75_RBF;ResNet101+DenseNet169_n_feat;PCA;RBF;10;75;0,941176
ResNet101+MobileNetV2_n_feat_PCA_75_RBF;ResNet101+MobileNetV2_n_feat;PCA;RBF;1;75;0,857143
ResNet101+MobileNetV2_n_feat_PCA_75_RBF;ResNet101+MobileNetV2_n_feat;PCA;RBF;2;75;0,971429
ResNet101+MobileNetV2_n_feat_PCA_75_RBF;ResNet101+MobileNetV2_n_feat;PCA;RBF;3;75;0,911765
ResNet101+MobileNetV2_n_feat_PCA_75_RBF;ResNet101+MobileNetV2_n_feat;PCA;RBF;4;75;0,852941
ResNet101+MobileNetV2_n_feat_PCA_75_RBF;ResNet101+MobileNetV2_n_feat;PCA;RBF;5;75;0,941176
ResNet101+MobileNetV2_n_feat_PCA_75_RBF;ResNet101+MobileNetV2_n_feat;PCA;RBF;6;75;0,941176
ResNet101+MobileNetV2_n_feat_PCA_75_RBF;ResNet101+MobileNetV2_n_feat;PCA;RBF;7;75;0,882353
ResNet101+MobileNetV2_n_feat_PCA_75_RBF;ResNet101+MobileNetV2_n_feat;PCA;RBF;8;75;0,970588
ResNet101+MobileNetV2_n_feat_PCA_75_RBF;ResNet101+MobileNetV2_n_feat;PCA;RBF;9;75;0,941176
ResNet101+MobileNetV2_n_feat_PCA_75_RBF;ResNet101+MobileNetV2_n_feat;PCA;RBF;10;75;1
VGG16+VGG19_n_feat_ReliefF_300_RBF;VGG16+VGG19_n_feat;ReliefF;RBF;1;300;0,8
VGG16+VGG19_n_feat_ReliefF_300_RBF;VGG16+VGG19_n_feat;ReliefF;RBF;2;300;0,914286
VGG16+VGG19_n_feat_ReliefF_300_RBF;VGG16+VGG19_n_feat;ReliefF;RBF;3;300;0,852941
VGG16+VGG19_n_feat_ReliefF_300_RBF;VGG16+VGG19_n_feat;ReliefF;RBF;4;300;0,794118
VGG16+VGG19_n_feat_ReliefF_300_RBF;VGG16+VGG19_n_feat;ReliefF;RBF;5;300;0,852941
VGG16+VGG19_n_feat_ReliefF_300_RBF;VGG16+VGG19_n_feat;ReliefF;RBF;6;300;0,911765
VGG16+VGG19_n_feat_ReliefF_300_RBF;VGG16+VGG19_n_feat;ReliefF;RBF;7;300;0,941176
VGG16+VGG19_n_feat_ReliefF_300_RBF;VGG16+VGG19_n_feat;ReliefF;RBF;8;300;0,941176
VGG16+VGG19_n_feat_ReliefF_300_RBF;VGG16+VGG19_n_feat;ReliefF;RBF;9;300;0,941176
VGG16+VGG19_n_feat_ReliefF_300_RBF;VGG16+VGG19_n_feat;ReliefF;RBF;10;300;0,882353
Xception+ResNet50_n_feat_PCA_40_RBF;Xception+ResNet50_n_feat;PCA;RBF;1;40;0,914286
Xception+ResNet50_n_feat_PCA_40_RBF;Xception+ResNet50_n_feat;PCA;RBF;2;40;0,885714
Xception+ResNet50_n_feat_PCA_40_RBF;Xception+ResNet50_n_feat;PCA;RBF;3;40;0,911765
Xception+ResNet50_n_feat_PCA_40_RBF;Xception+ResNet50_n_feat;PCA;RBF;4;40;0,852941
Xception+ResNet50_n_feat_PCA_40_RBF;Xception+ResNet50_n_feat;PCA;RBF;5;40;0,941176
Xception+ResNet50_n_feat_PCA_40_RBF;Xception+ResNet50_n_feat;PCA;RBF;6;40;0,970588
Xception+ResNet50_n_feat_PCA_40_RBF;Xception+ResNet50_n_feat;PCA;RBF;7;40;0,882353
Xception+ResNet50_n_feat_PCA_40_RBF;Xception+ResNet50_n_feat;PCA;RBF;8;40;0,941176
Xception+ResNet50_n_feat_PCA_40_RBF;Xception+ResNet50_n_feat;PCA;RBF;9;40;0,911765
Xception+ResNet50_n_feat_PCA_40_RBF;Xception+ResNet50_n_feat;PCA;RBF;10;40;0,911765
